danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.719,0.44,1,-7.24,1,0.034,0.0977,0.899,0.2,0.578,115.675,audio_features,0Ih4uM3sicCT5Ai849jkUI,spotify:track:0Ih4uM3sicCT5Ai849jkUI,https://api.spotify.com/v1/tracks/0Ih4uM3sicCT5Ai849jkUI,https://api.spotify.com/v1/audio-analysis/0Ih4uM3sicCT5Ai849jkUI,188058,4
0.589,0.899,7,-5.578,1,0.225,0.512,0.00016,0.125,0.335,175.719,audio_features,6I1iRZyHuBtsolaGh3knLI,spotify:track:6I1iRZyHuBtsolaGh3knLI,https://api.spotify.com/v1/tracks/6I1iRZyHuBtsolaGh3knLI,https://api.spotify.com/v1/audio-analysis/6I1iRZyHuBtsolaGh3knLI,286903,4
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,audio_features,4tf04WrZTy60CawyvueIdK,spotify:track:4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/tracks/4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/audio-analysis/4tf04WrZTy60CawyvueIdK,158293,4
0.557,0.654,11,-7.201,0,0.196,0.134,0.0,0.291,0.386,135.983,audio_features,1q8DwZtQen5fvyB7cKbShC,spotify:track:1q8DwZtQen5fvyB7cKbShC,https://api.spotify.com/v1/tracks/1q8DwZtQen5fvyB7cKbShC,https://api.spotify.com/v1/audio-analysis/1q8DwZtQen5fvyB7cKbShC,280000,4
0.393,0.416,1,-7.141,1,0.0498,0.669,0.0,0.142,0.606,176.188,audio_features,6u0JBv5NxVGRrFtJqFLpa7,spotify:track:6u0JBv5NxVGRrFtJqFLpa7,https://api.spotify.com/v1/tracks/6u0JBv5NxVGRrFtJqFLpa7,https://api.spotify.com/v1/audio-analysis/6u0JBv5NxVGRrFtJqFLpa7,202453,3
0.817,0.799,10,-5.704,0,0.0721,0.0295,8.56e-05,0.129,0.56,118.014,audio_features,1VYlIU9IpVa4MHUqzKHyOb,spotify:track:1VYlIU9IpVa4MHUqzKHyOb,https://api.spotify.com/v1/tracks/1VYlIU9IpVa4MHUqzKHyOb,https://api.spotify.com/v1/audio-analysis/1VYlIU9IpVa4MHUqzKHyOb,185875,4
0.87,0.517,1,-7.918,1,0.0475,0.576,0.00553,0.11,0.54,111.002,audio_features,3HqcNJdZ2seoGxhn0wVNDK,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,https://api.spotify.com/v1/tracks/3HqcNJdZ2seoGxhn0wVNDK,https://api.spotify.com/v1/audio-analysis/3HqcNJdZ2seoGxhn0wVNDK,207627,4
0.554,0.498,8,-13.794,1,0.0383,0.918,0.907,0.113,0.429,111.149,audio_features,5gQkOU6ZhGvA40ltPIFjEo,spotify:track:5gQkOU6ZhGvA40ltPIFjEo,https://api.spotify.com/v1/tracks/5gQkOU6ZhGvA40ltPIFjEo,https://api.spotify.com/v1/audio-analysis/5gQkOU6ZhGvA40ltPIFjEo,550529,3
0.732,0.734,7,-10.574,1,0.0541,0.0777,0.172,0.327,0.687,104.764,audio_features,2DccHqTquzubziHAPZRdct,spotify:track:2DccHqTquzubziHAPZRdct,https://api.spotify.com/v1/tracks/2DccHqTquzubziHAPZRdct,https://api.spotify.com/v1/audio-analysis/2DccHqTquzubziHAPZRdct,274391,4
0.376,0.451,11,-8.276,1,0.0327,0.402,4.13e-05,0.128,0.164,123.344,audio_features,3k2kIiJqUiIP49iUcOLpWT,spotify:track:3k2kIiJqUiIP49iUcOLpWT,https://api.spotify.com/v1/tracks/3k2kIiJqUiIP49iUcOLpWT,https://api.spotify.com/v1/audio-analysis/3k2kIiJqUiIP49iUcOLpWT,433360,3
